问题编号,序号,严重程度,问题类型,项目名称,检查日期,文件名,桩号,行号,疑似原因,建议复核项,详细信息,是否整改,整改说明
HOL-F0C5CD3F,1,严重,实际孔深不足,滨江一号桩基工程,2026-06-21,2026-06-21_三区桩基记录.xlsx,ZH2,3,实际孔深 24.80m 低于设计桩长 25.00m，短少 0.20m,复核孔深测量记录，确认是否存在测绳误差或孔底沉渣过厚,第 3 行，差值 -0.20m,,
HOL-D66C98A9,2,严重,实际孔深不足,滨江一号桩基工程,2026-06-21,2026-06-21_五区自定义表头.csv,ZH21,3,实际孔深 24.60m 低于设计桩长 25.00m，短少 0.40m,复核孔深测量记录，确认是否存在测绳误差或孔底沉渣过厚,第 3 行，差值 -0.40m,,
HOL-6D571FE2,3,严重,实际孔深不足,滨江一号桩基工程,2026-06-21,2026-06-21_四区异常记录.csv,ZK18,7,实际孔深 26.80m 低于设计桩长 27.00m，短少 0.20m,复核孔深测量记录，确认是否存在测绳误差或孔底沉渣过厚,第 7 行，差值 -0.20m,,
PIL-A12CAF7E,4,严重,桩号缺失,滨江一号桩基工程,2026-06-21,(汇总),(批量),,应有 120 根桩，实际有效记录 18 根，缺少 102 根,对照桩位布置图检查是否漏报，或与现场施工日志核对,差 102 根,,
PIL-D889FDBD,5,严重,桩号缺失,滨江一号桩基工程,2026-06-21,(汇总),(连号检查),,"桩号范围 ZK1~ZK120 之间存在断号: ZK4, ZK5, ZK10, ZK11, ZK12, ZK14, ZK17, ZK19, ZK23, ZK25 等共 103 根",检查断号桩是否漏报或设计变更取消,缺失 103 根,,
PIL-16373E34,6,严重,桩号为空,滨江一号桩基工程,2026-06-21,2026-06-21_五区自定义表头.csv,(空),5,"该行桩号为空（设计桩长=20.0, 桩径=800.0, 成孔=06-21 15:30, 灌注=06-21 21:00），已有数据填写但漏了桩号",补填桩号后再审；如为汇总/空行请删除整行,第 5 行,,
PIL-209D5686,7,严重,桩号为空,滨江一号桩基工程,2026-06-21,2026-06-21_四区异常记录.csv,(空),3,"该行桩号为空（设计桩长=28.0, 实际孔深=28.3, 方量=9.6, 理论方量=9.4, 桩径=800.0, 成孔=06-21 09:10, 灌注=06-21 15:00），已有数据填写但漏了桩号",补填桩号后再审；如为汇总/空行请删除整行,第 3 行,,
PIL-7946069F,8,严重,桩号为空,滨江一号桩基工程,2026-06-21,2026-06-21_四区异常记录.csv,(空),6,"该行桩号为空（设计桩长=24.0, 成孔=06-21 15:45, 灌注=06-21 21:00），已有数据填写但漏了桩号",补填桩号后再审；如为汇总/空行请删除整行,第 6 行,,
VOL-CF304AB8,9,警告,混凝土方量差异超限,滨江一号桩基工程,2026-06-21,2026-06-21_三区桩基记录.xlsx,ZH2,3,混凝土记录方量 8.80m³，理论方量 8.20m³，超灌 7.3%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 3 行，偏差 +7.3%，阈值 ±5%,,
VOL-03C3853F,10,警告,混凝土方量差异超限,滨江一号桩基工程,2026-06-21,2026-06-21_五区自定义表头.csv,ZH21,3,混凝土记录方量 8.80m³，理论方量 8.20m³，超灌 7.3%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 3 行，偏差 +7.3%，阈值 ±5%,,
VOL-77EFB3E8,11,警告,混凝土方量差异超限,滨江一号桩基工程,2026-06-21,2026-06-21_五区自定义表头.csv,ZH24,6,混凝土记录方量 9.20m³，理论方量 8.70m³，超灌 5.7%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 6 行，偏差 +5.7%，阈值 ±5%,,
VOL-A113B7A2,12,警告,混凝土方量差异超限,滨江一号桩基工程,2026-06-21,2026-06-21_四区异常记录.csv,ZK15,4,混凝土记录方量 10.80m³，理论方量 15.08m³，少灌 28.4%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 4 行，偏差 -28.4%，阈值 ±5%,,
VOL-FEA0534E,13,警告,混凝土方量差异超限,滨江一号桩基工程,2026-06-21,2026-06-21_四区异常记录.csv,ZK16,5,混凝土记录方量 8.90m³，理论方量 13.07m³，少灌 31.9%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 5 行，偏差 -31.9%，阈值 ±5%,,
