问题编号,序号,严重程度,问题类型,项目名称,检查日期,文件名,桩号,行号,疑似原因,建议复核项,详细信息,是否整改,整改说明
HOL-F0C5CD3F,1,严重,实际孔深不足,滨江一号,2026-06-21,2026-06-21_三区桩基记录.xlsx,ZH2,3,实际孔深 24.80m 低于设计桩长 25.00m，短少 0.20m,复核孔深测量记录，确认是否存在测绳误差或孔底沉渣过厚,第 3 行，差值 -0.20m,,
HOL-6D571FE2,2,严重,实际孔深不足,滨江一号,2026-06-21,2026-06-21_四区异常记录.csv,ZK18,7,实际孔深 26.80m 低于设计桩长 27.00m，短少 0.20m,复核孔深测量记录，确认是否存在测绳误差或孔底沉渣过厚,第 7 行，差值 -0.20m,,
PIL-F18AD33D,3,严重,桩号缺失,滨江一号,2026-06-21,(汇总),(连号检查),,"桩号范围 ZK1~ZK28 之间存在断号: ZK4, ZK10, ZK11, ZK14, ZK17, ZK19, ZK23, ZK25, ZK26",检查断号桩是否漏报或设计变更取消,缺失 9 根,,
PIL-16373E34,4,严重,桩号为空,滨江一号,2026-06-21,2026-06-21_五区自定义表头.csv,(空),5,"该行桩号为空（设计桩长=20.0, 桩径=800.0, 成孔=06-21 15:30, 灌注=06-21 21:00），已有数据填写但漏了桩号",补填桩号后再审；如为汇总/空行请删除整行,第 5 行,,
PIL-209D5686,5,严重,桩号为空,滨江一号,2026-06-21,2026-06-21_四区异常记录.csv,(空),3,"该行桩号为空（设计桩长=28.0, 实际孔深=28.3, 方量=9.6, 理论方量=9.4, 桩径=800.0, 成孔=06-21 09:10, 灌注=06-21 15:00），已有数据填写但漏了桩号",补填桩号后再审；如为汇总/空行请删除整行,第 3 行,,
PIL-7946069F,6,严重,桩号为空,滨江一号,2026-06-21,2026-06-21_四区异常记录.csv,(空),6,"该行桩号为空（设计桩长=24.0, 成孔=06-21 15:45, 灌注=06-21 21:00），已有数据填写但漏了桩号",补填桩号后再审；如为汇总/空行请删除整行,第 6 行,,
POU-ACD22BDE,7,警告,成孔到灌注间隔过长,滨江一号,2026-06-21,2026-06-20_一区桩基记录.csv,ZK5,6,成孔到灌注间隔 36.5 小时，超过阈值 24 小时,核对施工日志，确认是否存在待料或设备故障，必要时评估沉渣厚度,第 6 行，间隔 36.5h,,
POU-F211A05C,8,警告,成孔到灌注间隔过长,滨江一号,2026-06-21,2026-06-21_二区桩基记录.csv,ZK12,7,灌注时间 2026-06-21 19:00 早于成孔时间 2026-06-22 08:00，时间逻辑矛盾,检查成孔时间和灌注时间填报是否颠倒或格式错误,第 7 行,,
VOL-CF304AB8,9,警告,混凝土方量差异超限,滨江一号,2026-06-21,2026-06-21_三区桩基记录.xlsx,ZH2,3,混凝土记录方量 8.80m³，理论方量 8.20m³，超灌 7.3%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 3 行，偏差 +7.3%，阈值 ±5%,,
VOL-A113B7A2,10,警告,混凝土方量差异超限,滨江一号,2026-06-21,2026-06-21_四区异常记录.csv,ZK15,4,混凝土记录方量 10.80m³，理论方量 15.08m³，少灌 28.4%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 4 行，偏差 -28.4%，阈值 ±5%,,
FIE-D8BC29DD,11,提示,关键字段缺失,滨江一号,2026-06-21,2026-06-21_二区桩基记录.csv,ZK12,7,关键字段缺失: 实际孔深,补充缺失数据后再审,第 7 行,,
FIE-049D03D0,12,提示,关键字段缺失,滨江一号,2026-06-21,2026-06-21_五区自定义表头.csv,ZH20,2,"关键字段缺失: 实际孔深, 混凝土方量",补充缺失数据后再审,第 2 行,,
FIE-41E81BB5,13,提示,关键字段缺失,滨江一号,2026-06-21,2026-06-21_五区自定义表头.csv,ZH21,3,"关键字段缺失: 实际孔深, 混凝土方量",补充缺失数据后再审,第 3 行,,
FIE-9418323F,14,提示,关键字段缺失,滨江一号,2026-06-21,2026-06-21_五区自定义表头.csv,ZH22,4,"关键字段缺失: 实际孔深, 混凝土方量",补充缺失数据后再审,第 4 行,,
FIE-049E64D2,15,提示,关键字段缺失,滨江一号,2026-06-21,2026-06-21_五区自定义表头.csv,ZH24,6,"关键字段缺失: 实际孔深, 混凝土方量",补充缺失数据后再审,第 6 行,,
VOL-C20F8501,16,提示,理论方量无法计算,滨江一号,2026-06-21,2026-06-21_四区异常记录.csv,ZK16,5,"有混凝土方量但无法计算理论值，缺少: 理论方量列, 桩径列",补填理论方量或桩径+设计桩长，以便核对砼用量,第 5 行,,
